service_name,name
"SMG.EMS.ConfigurationDetectionManagerService","SMG.EMS.ConfigurationDetectionManagerService"
"SMG.EMS.EventManagerService (Instance: 00)","SMG.EMS.EventManagerService$00"
"SMG.EMS.EventManagerService (Instance: 000)","SMG.EMS.EventManagerService$000"
"SMG.EMS.EventManagerService (Instance: 001)","SMG.EMS.EventManagerService$001"
"SMG.EMS.EventManagerService (Instance: 002)","SMG.EMS.EventManagerService$002"
"SMG.EMS.EventManagerService (Instance: 003)","SMG.EMS.EventManagerService$003"
"SMG.EMS.EventManagerService (Instance: 004)","SMG.EMS.EventManagerService$004"
"SMG.EMS.EventManagerService (Instance: 005)","SMG.EMS.EventManagerService$005"
"SMG.EMS.EventManagerService","SMG.EMS.EventManagerService"
"SMG.EMS.ImportService","SMG.EMS.ImportService"
"SMG.EMS.MessageShovelService","SMG.EMS.MessageShovelService"
"SMG.EMS.ResponseManagerService","SMG.EMS.ResponseManagerService"
"SMG.EMS.ScheduleManagerService","SMG.EMS.ScheduleManagerService"
"SMG.EMS.SurveyHierarchyBatchService","SMG.EMS.SurveyHierarchyBatchService"
"SMG.EMS.SystemTestRunner","SMG.EMS.SystemTestRunner"
"SMG.EmailProvider.Service","SMG.EmailProvider.Service"
"SMG.Feedback.Gating.Service","SMG.Feedback.Gating.Service"
"SMG.Feedback.QueueProcessor","SMG.Feedback.QueueProcessor"
"SMG.Feedback.etl-calls","SMG.Feedback.etl-calls"
"SMG.FileMover.Service","SMG.FileMover.Service"
"SMG.FileProvider.Service","SMG.FileProvider.Service"
"SMG.HealthCheck.Monitor","SMG.HealthCheck.Monitor"
"SMG.Hierarchy.Service.Changeset.Bulk.Change.Processor","SMG.Hierarchy.Service.Changeset.Bulk.Change.Processor"
"SMG.Hierarchy.Service.Changeset.Changeset.Applicator","SMG.Hierarchy.Service.Changeset.Changeset.Applicator"
"SMG.Hierarchy.Service.Changeset.Graph.PostProcessing","SMG.Hierarchy.Service.Changeset.Graph.PostProcessing"
"SMG.Hierarchy.Service.Changeset.Recurring.File.Processor","SMG.Hierarchy.Service.Changeset.Recurring.File.Processor"
"SMG.Instrumentation.Console","SMG.Instrumentation.Console"
"SMG.PGPService","SMG.PGPService"
"SMG.ProtectedData.Ingestion.Service","SMG.ProtectedData.Ingestion.Service"
"SMG.Publication.Scheduler","SMG.Publication.Scheduler"
"SMG.Publication.Service","SMG.Publication.Service"
"SMG.PushNotifications.Service","SMG.PushNotifications.Service"
"SMG.QueueArchiver.Monitor","SMG.QueueArchiver.Monitor"
"SMG.Reprocessing.ElasticWriter","SMG.Reprocessing.ElasticWriter"
"SMG.Reprocessing.NodeManager","SMG.Reprocessing.NodeManager"
"SMG.Reprocessing.Service","SMG.Reprocessing.Service"
"SMG.RequestProcessingService","SMG.RequestProcessingService"
"SMG.Rosetta.PortalConnectorService","SMG.Rosetta.PortalConnectorService"
"SMG.Rosetta.Sources.Persistence","SMG.Rosetta.Sources.Persistence"
"SMG.Rosetta.StormValidator.Service","SMG.Rosetta.StormValidator.Service"
"SMG.SMS.QueueConsumer","SMG.SMS.QueueConsumer"
"SMG.Scheduler.Service","SMG.Scheduler.Service"
"SMG.Social.ConnectorService","SMG.Social.ConnectorService"
"SMG.Streaming.Trace","SMG.Streaming.Trace"
"SMG.Streaming.Validation.Service","SMG.Streaming.Validation.Service"
"SMG.Text.LegacyCommentsMover.App","SMG.Text.LegacyCommentsMover.App"
"SMG.Text.ThemesAggregator","SMG.Text.ThemesAggregator"
"SMG.TextAnalytics.SentimentCorrection","SMG.TextAnalytics.SentimentCorrection"
"SMG.TextAnalytics.TABLRunner","SMG.TextAnalytics.TABLRunner"
"SMG.Transaction.File.Watcher.App","SMG.Transaction.File.Watcher.App"
"SMG.Transaction.Service (Instance: 001)","SMG.Transaction.Service$001"
"SMG.Transaction.Service (Instance: 002)","SMG.Transaction.Service$002"
"SMG.Transaction.Service (Instance: 003)","SMG.Transaction.Service$003"
"SMG.Transaction.Service (Instance: 004)","SMG.Transaction.Service$004"
"SMG.Transaction.Service (Instance: 005)","SMG.Transaction.Service$005"
"SMG.Transaction.Service (Instance: 006)","SMG.Transaction.Service$006"
"SMG.Transaction.Service","SMG.Transaction.Service"
"SMG.Transaction.Service","smg.transaction.service"
"SMG.TranslationPersistenceService","SMG.TranslationPersistenceService"
"SMG.Utilities.Logging.Monitor (Instance: 001)","SMG.Utilities.Logging.Monitor$001"
"SMG.Utilities.Logging.Monitor (Instance: 002)","SMG.Utilities.Logging.Monitor$002"
"SMG.Utilities.Logging.Monitor (Instance: 003)","SMG.Utilities.Logging.Monitor$003"
"SMG.Utilities.Logging.Monitor (Instance: 1)","SMG.Utilities.Logging.Monitor$1"
"SMG.Utilities.Logging.Monitor (Instance: 2)","SMG.Utilities.Logging.Monitor$2"
"SMG.Utilities.Logging.Monitor","SMG.Utilities.Logging.Monitor"
"SMS Agent Host","CcmExec"
"SNMP Service","SNMP"
"SNMP Trap","SNMPTRAP"
"SQL Active Directory Helper Service","MSSQLServerADHelper100"
"SQL Full-text Filter Daemon Launcher (INTERNAL)","MSSQLFDLauncher$INTERNAL"
"SQL Full-text Filter Daemon Launcher (PDS)","MSSQLFDLauncher$PDS"
"SQL Full-text Filter Daemon Launcher (SMGJOBS)","MSSQLFDLauncher$SMGJOBS"
"SQL Full-text Filter Daemon Launcher (SMGODS)","MSSQLFDLauncher$SMGODS"
"SQL Full-text Filter Daemon Launcher (SMGOPS)","MSSQLFDLauncher$SMGOPS"
"SQL Full-text Filter Daemon Launcher (SMGREPORT)","MSSQLFDLauncher$SMGREPORT"
